tumor_id	normal_id	tumor_bam	normal_bam
15	s_C_000260_T001_d	s_C_000260_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000260_T001_d/s_C_000260_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000260_N001_d/s_C_000260_N001_d.bam
16	s_C_000261_T001_d	s_C_000261_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000261_T001_d/s_C_000261_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000261_N001_d/s_C_000261_N001_d.bam
17	s_C_000263_T001_d	s_C_000263_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000263_T001_d/s_C_000263_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000263_N001_d/s_C_000263_N001_d.bam
18	s_C_000613_P001_d	s_C_000613_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000613_P001_d/s_C_000613_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000613_N001_d/s_C_000613_N001_d.bam
19	s_C_000616_P001_d	s_C_000616_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000616_P001_d/s_C_000616_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000616_N001_d/s_C_000616_N001_d.bam
20	s_C_000617_M001_d	s_C_000617_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000617_M001_d/s_C_000617_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000617_N001_d/s_C_000617_N001_d.bam
21	s_C_000617_M002_d	s_C_000617_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000617_M002_d/s_C_000617_M002_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000617_N001_d/s_C_000617_N001_d.bam
22	s_C_000617_M003_d	s_C_000617_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000617_M003_d/s_C_000617_M003_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000617_N001_d/s_C_000617_N001_d.bam
23	s_C_000618_P001_d	s_C_000618_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000618_P001_d/s_C_000618_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000618_N001_d/s_C_000618_N001_d.bam
24	s_C_000619_P001_d	s_C_000619_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000619_P001_d/s_C_000619_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000619_N001_d/s_C_000619_N001_d.bam
25	s_C_000622_P001_d	s_C_000622_N003_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000622_P001_d/s_C_000622_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000622_N003_d/s_C_000622_N003_d.bam
26	s_C_000629_P001_d	s_C_000629_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000629_P001_d/s_C_000629_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000629_N001_d/s_C_000629_N001_d.bam
27	s_C_000632_P001_d	s_C_000632_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000632_P001_d/s_C_000632_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000632_N001_d/s_C_000632_N001_d.bam
28	s_C_000643_M001_d	s_C_000643_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000643_M001_d/s_C_000643_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000643_N001_d/s_C_000643_N001_d.bam
29	s_C_000644_M001_d	s_C_000644_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000644_M001_d/s_C_000644_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000644_N001_d/s_C_000644_N001_d.bam
30	s_C_000667_P001_d	s_C_000667_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000667_P001_d/s_C_000667_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000667_N001_d/s_C_000667_N001_d.bam
31	s_C_000669_P001_d	s_C_000669_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000669_P001_d/s_C_000669_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000669_N001_d/s_C_000669_N001_d.bam
32	s_C_000670_P001_d	s_C_000670_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000670_P001_d/s_C_000670_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000670_N001_d/s_C_000670_N001_d.bam
33	s_C_000677_T001_d	s_C_000677_N002_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000677_T001_d/s_C_000677_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000677_N002_d/s_C_000677_N002_d.bam
34	s_C_000678_P001_d	s_C_000678_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000678_P001_d/s_C_000678_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000678_N001_d/s_C_000678_N001_d.bam
35	s_C_000754_M001_d	s_C_000754_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000754_M001_d/s_C_000754_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000754_N001_d/s_C_000754_N001_d.bam
36	s_C_000770_P001_d	s_C_000770_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000770_P001_d/s_C_000770_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000770_N001_d/s_C_000770_N001_d.bam
37	s_C_000785_P001_d	s_C_000785_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000785_P001_d/s_C_000785_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000785_N001_d/s_C_000785_N001_d.bam
38	s_C_000806_P001_d	s_C_000806_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000806_P001_d/s_C_000806_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000806_N001_d/s_C_000806_N001_d.bam
39	s_C_000866_M002_d	s_C_000866_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000866_M002_d/s_C_000866_M002_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000866_N001_d/s_C_000866_N001_d.bam
40	s_C_000871_M003_d	s_C_000871_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000871_M003_d/s_C_000871_M003_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000871_N001_d/s_C_000871_N001_d.bam
41	s_C_001228_T001_d	s_C_001228_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001228_T001_d/s_C_001228_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001228_N001_d/s_C_001228_N001_d.bam
42	s_C_001231_T002_d	s_C_001231_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001231_T002_d/s_C_001231_T002_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001231_N001_d/s_C_001231_N001_d.bam
43	s_C_001238_T001_d	s_C_001238_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001238_T001_d/s_C_001238_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001238_N001_d/s_C_001238_N001_d.bam
44	s_C_001246_T001_d	s_C_001246_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001246_T001_d/s_C_001246_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001246_N001_d/s_C_001246_N001_d.bam
45	s_C_001253_T001_d	s_C_001253_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001253_T001_d/s_C_001253_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001253_N001_d/s_C_001253_N001_d.bam
46	s_C_001260_T001_d	s_C_001260_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001260_T001_d/s_C_001260_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001260_N001_d/s_C_001260_N001_d.bam
47	s_C_001264_T001_d	s_C_001264_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001264_T001_d/s_C_001264_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001264_N001_d/s_C_001264_N001_d.bam
48	s_C_001280_P001_d	s_C_001280_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001280_P001_d/s_C_001280_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001280_N001_d/s_C_001280_N001_d.bam
49	s_C_001285_P001_d	s_C_001285_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001285_P001_d/s_C_001285_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001285_N001_d/s_C_001285_N001_d.bam
50	s_C_001288_P001_d	s_C_001288_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001288_P001_d/s_C_001288_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001288_N001_d/s_C_001288_N001_d.bam
51	s_C_001290_P001_d	s_C_001290_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001290_P001_d/s_C_001290_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001290_N001_d/s_C_001290_N001_d.bam
52	s_C_001293_M001_d	s_C_001293_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001293_M001_d/s_C_001293_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001293_N001_d/s_C_001293_N001_d.bam
53	s_C_001297_P001_d	s_C_001297_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001297_P001_d/s_C_001297_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001297_N001_d/s_C_001297_N001_d.bam
54	s_C_001302_P001_d	s_C_001302_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001302_P001_d/s_C_001302_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001302_N001_d/s_C_001302_N001_d.bam
55	s_C_001311_P001_d	s_C_001311_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001311_P001_d/s_C_001311_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001311_N001_d/s_C_001311_N001_d.bam
56	s_C_001317_P001_d	s_C_001317_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001317_P001_d/s_C_001317_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001317_N001_d/s_C_001317_N001_d.bam
57	s_C_001328_P001_d	s_C_001328_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001328_P001_d/s_C_001328_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001328_N001_d/s_C_001328_N001_d.bam
58	s_C_001332_P001_d	s_C_001332_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001332_P001_d/s_C_001332_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001332_N001_d/s_C_001332_N001_d.bam
59	s_C_001337_M001_d	s_C_001337_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001337_M001_d/s_C_001337_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001337_N001_d/s_C_001337_N001_d.bam
60	s_C_001343_M001_d	s_C_001343_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001343_M001_d/s_C_001343_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001343_N001_d/s_C_001343_N001_d.bam
61	s_C_001357_P001_d	s_C_001357_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001357_P001_d/s_C_001357_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001357_N001_d/s_C_001357_N001_d.bam
62	s_C_001359_P001_d	s_C_001359_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001359_P001_d/s_C_001359_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001359_N001_d/s_C_001359_N001_d.bam
63	s_C_001362_M001_d	s_C_001362_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001362_M001_d/s_C_001362_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001362_N001_d/s_C_001362_N001_d.bam
64	s_C_001364_P001_d	s_C_001364_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001364_P001_d/s_C_001364_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001364_N001_d/s_C_001364_N001_d.bam
65	s_C_001365_P001_d	s_C_001365_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001365_P001_d/s_C_001365_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001365_N001_d/s_C_001365_N001_d.bam
66	s_C_001380_M001_d	s_C_001380_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001380_M001_d/s_C_001380_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001380_N001_d/s_C_001380_N001_d.bam
67	s_C_001382_P001_d	s_C_001382_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001382_P001_d/s_C_001382_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001382_N001_d/s_C_001382_N001_d.bam
68	s_C_001388_P001_d	s_C_001388_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001388_P001_d/s_C_001388_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001388_N001_d/s_C_001388_N001_d.bam
69	s_C_001390_M001_d	s_C_001390_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001390_M001_d/s_C_001390_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001390_N001_d/s_C_001390_N001_d.bam
70	s_C_001396_P001_d	s_C_001396_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001396_P001_d/s_C_001396_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001396_N001_d/s_C_001396_N001_d.bam
71	s_C_001398_P001_d	s_C_001398_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001398_P001_d/s_C_001398_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001398_N001_d/s_C_001398_N001_d.bam
72	s_C_001414_P001_d	s_C_001414_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001414_P001_d/s_C_001414_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001414_N001_d/s_C_001414_N001_d.bam
73	s_C_001417_P001_d	s_C_001417_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001417_P001_d/s_C_001417_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001417_N001_d/s_C_001417_N001_d.bam
74	s_C_001420_P001_d	s_C_001420_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001420_P001_d/s_C_001420_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001420_N001_d/s_C_001420_N001_d.bam
75	s_C_001430_P001_d	s_C_001430_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001430_P001_d/s_C_001430_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001430_N001_d/s_C_001430_N001_d.bam
76	s_C_001438_P001_d	s_C_001438_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001438_P001_d/s_C_001438_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001438_N001_d/s_C_001438_N001_d.bam
77	s_C_001441_M001_d	s_C_001441_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001441_M001_d/s_C_001441_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001441_N001_d/s_C_001441_N001_d.bam
78	s_C_001472_P001_d	s_C_001472_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001472_P001_d/s_C_001472_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001472_N001_d/s_C_001472_N001_d.bam
79	s_C_001485_P001_d	s_C_001485_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001485_P001_d/s_C_001485_P001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_001485_N001_d/s_C_001485_N001_d.bam
